# Timeseries of dry mole fraction of O2 and the required inputs to calculate it
#
#
# HISTORY:
#  Added 1991 to 2023 using fo2_prep v.1.0.0 at 2024-12-18 17:55 EST. Source files:
#    - co2gl_file: /Users/laughner/Documents/Projects/TCCON/ginput/src/ginput/ginput/data/fo2_data/fo2_inputs_20241218T175525/co2_annmean_gl.txt (SHA1 = 0d8160703324da1291b1ad95cbf06f29293218a6)
#    - alt_o2n2_file: /Users/laughner/Documents/Projects/TCCON/ginput/src/ginput/ginput/data/fo2_data/fo2_inputs_20241218T175525/monthly_o2_alt.csv (SHA1 = 23696b30fcf084cd84ed1704a6ede4e6c18879bd)
#    - cgo_o2n2_file: /Users/laughner/Documents/Projects/TCCON/ginput/src/ginput/ginput/data/fo2_data/fo2_inputs_20241218T175525/monthly_o2_cgo.csv (SHA1 = 3e8c6e2a4ec9ed370d6eaa47f16a7bdf1a36a9e8)
#    - ljo_o2n2_file: /Users/laughner/Documents/Projects/TCCON/ginput/src/ginput/ginput/data/fo2_data/fo2_inputs_20241218T175525/monthly_o2_ljo.csv (SHA1 = 2130d2f783da3f1c17cfa5d6d4f658205a4d3d56)
# END HISTORY
# Column definitions:
#  - "year": the year which the other values are averaged over
#  - "fo2": the dry mole fraction of O2
#  - "o2_n2": the delta O2/N2 values in per meg averaged from multiple Scripps sites
#  - "do2_n2": the "o2_n2" values with the base year subtracted off
#  - "co2": the NOAA marine surface annual global mean CO2 dry mole fraction in ppm
#  - "dco2": the "co2" values with the base year substracted off
#
 year      fo2       o2_n2     d_o2_n2    co2  d_co2
 1991 0.209428 -108.459375  470.139167 355.39 -44.26
 1992 0.209426 -118.962292  459.636250 356.09 -43.56
 1993 0.209424 -128.592083  450.006458 356.83 -42.82
 1994 0.209421 -148.637708  429.960833 358.33 -41.32
 1995 0.209417 -166.498542  412.100000 360.17 -39.48
 1996 0.209415 -181.760000  396.838542 361.93 -37.72
 1997 0.209412 -195.633542  382.965000 363.05 -36.60
 1998 0.209408 -215.316875  363.281667 365.70 -33.95
 1999 0.209405 -232.391458  346.207083 367.79 -31.86
 2000 0.209401 -255.797708  322.800833 368.96 -30.69
 2001 0.209398 -273.447083  305.151458 370.57 -29.08
 2002 0.209395 -289.300208  289.298333 372.58 -27.07
 2003 0.209390 -313.759792  264.838750 375.14 -24.51
 2004 0.209386 -333.661667  244.936875 376.95 -22.70
 2005 0.209383 -351.951042  226.647500 378.98 -20.67
 2006 0.209379 -374.048333  204.550208 381.15 -18.50
 2007 0.209375 -395.389792  183.208750 382.90 -16.75
 2008 0.209370 -419.967083  158.631458 385.02 -14.63
 2009 0.209368 -434.524583  144.073958 386.50 -13.15
 2010 0.209363 -458.614167  119.984375 388.75 -10.90
 2011 0.209359 -479.887292   98.711250 390.62  -9.03
 2012 0.209355 -503.057292   75.541250 392.65  -7.00
 2013 0.209350 -530.907500   47.691042 395.40  -4.25
 2014 0.209346 -552.982083   25.616458 397.34  -2.31
 2015 0.209341 -578.598542    0.000000 399.65   0.00
 2016 0.209336 -605.937083  -27.338542 403.06   3.41
 2017 0.209331 -630.714583  -52.116042 405.22   5.57
 2018 0.209326 -657.892083  -79.293542 407.61   7.96
 2019 0.209321 -684.389583 -105.791042 410.07  10.42
 2020 0.209317 -709.623958 -131.025417 412.44  12.79
 2021 0.209312 -733.354375 -154.755833 414.70  15.05
 2022 0.209307 -760.331042 -181.732500 417.08  17.43
 2023 0.209303 -784.323125 -205.724583 419.32  19.67
